Ngày,Đóng cửa,Mở cửa,Cao nhất,Thấp nhất,Khối lượng,% Thay đổi
17/11/2023,85.6,87.8,87.9,85.5,1.59M,-2.73%
16/11/2023,88,87,88,86.7,1.28M,0.34%
15/11/2023,87.7,86.5,87.7,86.5,4.07M,1.98%
14/11/2023,86,86,86.5,85.4,987.50K,0.58%
13/11/2023,85.5,86,86.1,85.4,937.70K,-0.58%
10/11/2023,86,87.1,87.5,86,1.35M,-2.16%
09/11/2023,87.9,89.5,89.5,87.9,1.17M,-1.79%
08/11/2023,89.5,88,89.7,87.9,1.27M,1.36%
07/11/2023,88.3,89,89.3,88.3,413.90K,-1.34%
06/11/2023,89.5,88.9,89.8,88.5,774.80K,0.67%
03/11/2023,88.9,89,89.4,88.1,1.09M,-0.11%
02/11/2023,89,88,89,86.6,1.06M,1.37%
01/11/2023,87.8,86.8,87.8,86.1,1.48M,1.15%
31/10/2023,86.8,85.9,86.9,84.9,1.35M,1.05%
30/10/2023,85.9,83.5,86,83.5,592.90K,1.06%
27/10/2023,85,84.6,85,83.8,773.40K,0.59%
26/10/2023,84.5,85,86,83.5,1.42M,-1.52%
25/10/2023,85.8,85.1,85.8,84.6,660.10K,-0.23%
24/10/2023,86,84.5,86.5,83.9,994.00K,1.78%
23/10/2023,84.5,84.5,84.5,82.5,966.60K,-0.35%
20/10/2023,84.8,83.5,85.3,82.7,938.40K,0.36%
19/10/2023,84.5,85.5,86,84.1,1.36M,-1.63%
18/10/2023,85.9,85.5,86,85,1.15M,0.00%
17/10/2023,85.9,86.1,86.5,85.5,363.40K,-0.23%
16/10/2023,86.1,85.6,86.6,85.6,332.30K,-0.58%
13/10/2023,86.6,86,86.6,85.5,663.10K,0.70%
12/10/2023,86,86.9,86.9,85.5,714.10K,-0.58%
11/10/2023,86.5,86.2,86.5,85.7,719.40K,0.46%
10/10/2023,86.1,84.6,86.2,84.6,734.10K,1.77%
09/10/2023,84.6,85.4,85.4,84,1.10M,-0.94%
06/10/2023,85.4,84.5,85.4,83.5,800.90K,1.07%
05/10/2023,84.5,86,86,84.5,890.00K,-2.09%
04/10/2023,86.3,86.3,86.3,85.3,923.80K,0.00%
03/10/2023,86.3,86.5,86.7,85.8,882.60K,-0.23%
02/10/2023,86.5,87.1,87.2,86.5,765.70K,-1.14%
29/09/2023,87.5,88.3,88.3,87.1,449.30K,-0.57%
28/09/2023,88,87.2,88.3,86.6,1.07M,0.23%
27/09/2023,87.8,87.6,89,87,1.20M,0.92%
26/09/2023,87,89.2,89.4,86.9,1.66M,-2.58%
25/09/2023,89.3,89,89.5,88.3,2.21M,0.00%
22/09/2023,89.3,86.4,89.5,86,2.41M,2.64%
21/09/2023,87,88,88,86.8,1.07M,-1.14%
20/09/2023,88,88.1,88.4,86.4,786.00K,-0.11%
19/09/2023,88.1,88.8,89.2,86,1.12M,-0.79%
18/09/2023,88.8,89.5,89.7,88.3,718.10K,-1.11%
15/09/2023,89.8,88.9,89.8,88.6,2.14M,0.79%
14/09/2023,89.1,89,89.5,88.1,1.51M,0.00%
13/09/2023,89.1,90,90,88.9,1.58M,-0.89%
12/09/2023,89.9,89,90,88.9,1.57M,1.58%
11/09/2023,88.5,89.6,90,88,1.65M,-1.12%
08/09/2023,89.5,89.5,89.5,89.1,1.34M,0.00%
07/09/2023,89.5,90,90.8,89.5,1.77M,-0.78%
06/09/2023,90.2,90.2,90.2,89.7,2.02M,0.11%
05/09/2023,90.1,89.1,90.7,89.1,1.94M,1.12%
31/08/2023,89.1,89.1,89.6,88.3,1.53M,0.00%
30/08/2023,89.1,88.5,89.5,88.5,1.35M,0.79%
29/08/2023,88.4,87,88.5,86.9,1.39M,1.61%
28/08/2023,87,86.4,87.5,86.2,1.38M,0.93%
25/08/2023,86.2,86.2,87,86,1.40M,-0.92%
24/08/2023,87,86.3,88.2,86,902.80K,0.81%
23/08/2023,86.3,88.9,88.9,86.1,1.75M,-2.38%
22/08/2023,88.4,89.5,89.7,87.8,1.83M,-1.56%
21/08/2023,89.8,89.7,90.2,89.2,1.71M,0.34%
18/08/2023,89.5,89.8,90.3,89,2.22M,0.11%
17/08/2023,89.4,89.2,89.8,88.6,2.15M,0.22%
16/08/2023,89.2,88.8,89.4,88.7,727.30K,0.34%
15/08/2023,88.9,90,90,88.5,1.15M,-0.11%
14/08/2023,89,90.3,90.3,89,1.47M,-1.55%
11/08/2023,90.4,88.5,90.4,88.5,920.80K,2.15%
10/08/2023,88.5,90.5,90.5,88.5,1.34M,-1.88%
09/08/2023,90.2,90.7,90.9,90.1,591.60K,-0.55%
08/08/2023,90.7,90.8,91.2,90.1,823.40K,-0.11%
07/08/2023,90.8,90.1,90.8,90,1.11M,0.78%
04/08/2023,90.1,90.7,91.1,90.1,1.23M,-0.55%
03/08/2023,90.6,91.5,91.5,90.5,837.90K,-0.98%
02/08/2023,91.5,91.2,91.5,91,1.06M,0.33%
01/08/2023,91.2,91.6,92.8,91.2,1.28M,-0.44%
31/07/2023,91.6,93,93.2,91.6,1.47M,-1.51%
28/07/2023,93,92.7,93,91.8,1.12M,0.32%
27/07/2023,92.7,93.7,93.7,92.5,957.20K,-0.75%
26/07/2023,93.4,91.9,93.4,91.9,1.15M,1.85%
25/07/2023,91.7,90.4,92.5,90.3,2.37M,3.54%
24/07/2023,88.569,88.992,89.246,88.484,954.84K,-15.65%
21/07/2023,105,105,105,104,663.40K,0.00%
20/07/2023,105,105.5,106.4,103.6,771.60K,-1.41%
19/07/2023,106.5,104.6,107.1,104.6,926.20K,2.11%
18/07/2023,104.3,104.9,105,104.3,590.00K,-0.48%
17/07/2023,104.8,105,105,104.2,791.60K,-0.19%
14/07/2023,105,104.9,105,104,797.70K,0.10%
13/07/2023,104.9,105,105,103.7,928.30K,0.87%
12/07/2023,104,102.7,104.5,102.7,742.80K,0.97%
